recommend, date, review
Recommended,Posted: June 22,Thank you for not giving up.
Recommended,Posted: August 8| 2018,For many years| (I am 64)| I have played space exploration| colonization and strategy games| hoping to feed my dreams of actually living in and exploring space. I don't have much of a taste for endless combat| I just wanted to explore star systems| planets and asteroid fields and imagine what it would really be like to live my dreams.No Man's Sky is the closest thing to living in and exploring space that I have found so far. It certainly has room for improvement| but there are so many features and things to do that it has kept me busy so far. Love it.
Not Recommended,Posted: August 25| 2016,(Updated at bottom)It doesn't actually feel like a real universe| there are no planetary physics and gravity is the same on all planets. There are no actual solar systems. The planets don't rotate around a sun but are stationary| sitting together in a blob. The moons don't even go around the planets.All of the various wonders of the universe (neutron stars| supernovas| pulsars| etc) are entirely absent. There are no stars| they're just part of the skybox but you can't fly to them.The 18 quintillion planets that was so heavily marketed isn't impressive when you realize what that actually means: if you took 11 things and come up with 50 variations for each| that is close to 18 quintillion combinations. Most planets are entirely the same but with different bumps and colors| they have the same objects on them and largely the same resources. Once you've seen the first dozen planets| you've seen them all.You don't have a sense of scope/scale to your journey. In the galactic map you can see other stars but there's no sense of where you are in relation to the center of the universe. Likewise you don't have a way to track where you were. No mapping or history| waypoints or other ways of tracking your progress. The only way to travel between systems is to open up the map and click warp| which initiates a loading screen animation and loads up the new planets. There is no deep space. You feel like you're in an instance with 3 or 4 planets that are mostly the same| then you load up a new skybox with a new set of similar planets. It's nothing like say Space Engine| where you actually do get a true sense that you're in a real universe.You can't manually land your ship| you simply press a button for it to autoland. Tons of other maneuvers (like entering a space station) are entirely autopilot. The asteroids which are everywhere have insane pop-in issues| they only show up like 50 meters in front of you.The freight ships don't move| they just sit there passively forever. They add zero gameplay depth.The space stations are all basically the same.The planets are littered with outposts| all identical and with a single NPC alien standing still and staring into the wall.The NPCs are entirely shallow| there is literally no point to even talking to them since they never say anything interesting and simply give you something random you likely don't need. Even the automated quest giving NPCs in Bethesda games that hand out those Radiant AI quests would be a massive improvement.All of the monoliths are the same| it's nothing but a chore to chase them down. The words you learn don't add any depth to your interactions with the aliens| since they never have anything interesting to say anyway.The animals are built on 14 different skeleton designs| with a bunch of random animal parts scrapped on top of each section to maximize the number of permutations and there is no attempt to make the animal make any sense in it's environment or have anything unique in it's behavior. The animals have no evolutionary history and their behavior is incredibly shallow.There are no tall trees like were shown in E3| they're all saplings. There are no large forests| no large creatures. There are no large valleys| huge mountain peaks| no giant volcanos| all terrain is uniformly similar across planets.The grinding which makes up most of the game is not only boring| but frustrating due to the completely messed up inventory management.The interface is atrocious. It's amazing that it can be messed up this bad| the fact that we need a mod just to remove the requirement that you must hold each click for a second speaks volumes. You need to load up a menu to do anything| and the menus are terribly designed and completely unintuitive.The game is a technical mess. It looks like ♥ yet runs with all sorts of framerate issues.It fails as a survival game since nothing in the game leaves you threatened. Each planet is seeded with abundant resources| and the few things that do attack you are easily defeated. Compare to minecraft where there's a very definite risk / reward system to exploring a deep cave system. Nothing really threatens you in a meaningful way.The different minerals and resources don't really matter. Since most of the upgrades to explore the universe are yours within the first hour / two hours all the rest are kind of nice add ons.There's no challenge to exploring. There's very little combat and what combat there is very boring.All planets are accessible right from the start of the game. I was excited about the idea of acid planets| radioactive planets| cold planets ... I was thinking that to explore a radioactive planet you'd need to craft some special gear. There was a pretty obvious gameplay loop where the dangerous planets had better minerals/ruins/whatever but were very hard to explore. Instead every planet is basically just a copy of the others.The constant need to recharge things| which don't really serve a purpose. It makes the game very grindy without any positive feedback. Instead of feeling free to explore the world around me I feel annoyed that if I see something cool it means 30 seconds of tedium while I mine the abundant plutonium. I end up not landing and exploring because of how annoying it is that to take off again I must enter a menu and recharge my ship.None of the aliens interact with each other or have any sort of AI other than 'walk around a bit'. There's nothing to sit and watch. An occasional ship will fly overhead but they don't do anything. You never really see a battle take place or the ships acting in any sort of interesting manner.Update 2019: redacted previous points above that I thought were updated| most points are still disappointingly true. There have been add-ons like the buggies for getting around faster| base building| multiplayer (which was a promised feature from the beginning but whatever) and a few updates to the resource/crafting tree as well as a story. But the reality is that it's just a new coat of paint on a big turd. I tried to continue from my old save file and all of my blueprints| technologies| some resources| etc. were all gone and replaced with a module called “obsolete technology.” Apparently I saved in a completely dead system cause none of the planets had anything other than sentinels and animals. No beacons| crashed ships| and incredibly scarce resources. Now I didn't have any warp cells nor the ability to craft any to escape this dead system| I couldn't even craft the visor to locate the anomaly the game constantly was telling me to go to. I asked reddit and others for help but was told that now there’s just dead systems from the update and I should just start anew. I started up a new file and threw my ship| now useless multitool| and maxed out exosuit away. So much grinding for nothing. Turns out the only thing that makes this game challenging is the lack of upgrades| blueprints| technologies because without them grinding for materials to craft upgrades| blueprints| and technologies is super slow. They pretty much just added intermediary steps to the crafting tree (now you must refine the carbon by crafting a refiner and then finding fuel for the refiner). The added story is about as deep and interesting as mining materials. The story progresses by errand running on a galactic scale to the point that the "characters” which send you on the errands make less and less sense. Somehow the ship controls are worse and make shooting other ships very frustrating. The only challenging part of space dogfights is the ship controls.There’s still bugs too| a lot. You can fall through the floor of a planet or have your ship spawn under the floor| the game will crash randomly| put down a refiner and then not be able to pick it back up again or its contents.But every 100 or so planets you visit will be pretty.With such lack of depth and poor execution Hello Games is criminal to charge more than $10.
Recommended,Posted: December 21| 2019,Launch controversy aside| what this game should have been called for the longest time is 'Early Access'. Around the time of the Beyond update is when I'd say would have been the true 'launch'. I didn't get this when it first came out| but even when I did it was a fragmented mess of a game. Now| finally| with the Beyond and Synthesis updates there's a solid game here that's almost (but not quite) like what Sean Murray promised way back at the beginning.Performance on PC has dramatically improved with the switch over to the Vulkan API| and it finally supports Ultrawide and various other PC-specific options. The game itself provides a significant amount of variety| offering a combination of Elite-lite and 'Minecraft in Space' mechanics. There's plenty to see and do| and the exploration aspect is enjoyable - if a little bland. The planetary biomes and overall game could still do with further diversity| but there's plenty here to get to your teeth into.Hello Games show no sign of slowing down their support for the game either| having just recently released a bizarre in-game music synthesizer of all things| and going by the evidence of their progress to date I can only see the game improving further as time moves on.
Recommended,Posted: March 1,I'm drunk| so i'll keep this quick.Internet Historian was right.Whatever was wrong with this game at the outset| is gone. With Hello Games' hard work| they've made a game everyone says was bad| into a game that is actually pretty ♥♥♥♥in' good. And given their track record after release| it'll only get better. I mean c'mon| they could've just taken the millions they made and ran off. Instead they busted their asses finishing this game and making it better than even THEY could have imagined. As far as i'm concerned| such a stalwart and excellent work ethic deserves to be rewarded.
Recommended,Posted: January 25,Check out the Internet Historians video for the best description of the fall and rise of this game| but personal opinions on it| I really enjoy it| is a bit grindy at times| combat is pretty solid| ship piloting is pretty smooth| the mission system is cool| and base building is awesome| the game does still has a few optimization issues| and bug fixes that will probably be worked out soon| but all in all the game is a 8/10 not a bad game anymore but also not without its own flaws. i recommend anyone to check it out if you can.
Recommended,Posted: April 19| 2019,This game had a disastrous launch. Sean Murray seemed like a lying over-promising cheat| at launch.They could've taken the money they made and run with it| millionaires all of them.Instead| they stuck around and made the game better and better| expansion after free expansion| improvement after improvement. No Man's Sky went from a good concept to a beautiful reality. This game deserves all the love it can get.
Recommended,Posted: March 24,I bought this game during the COVID-19 outbreak and I must say it is the ultimate time consumer. I did not get bored of this game for 20 hours straight . There is so much to do constantly. There is so much customization in literally everything.
Recommended,Posted: March 11,bought the game in summer 2018... played 45 min.  didn't get into it.fired it up again in jan 2020... haven't stopped playing it.phenomenal game.  recommend playing with a buddy if you can.  don't look at the internet for solutions - figure it out yourself| and you will be so rewarded.
Recommended,Posted: August 10| 2019,It started with a bunch of lies.  They paid for it with outrage and threats.  But instead of walking away with the profits they decided this is not how Hello Games will end.  Update after update No Man's Sky got better and better.  Development and a great deal of time costs money and yet they decided to update the game for free.  Thank you Hello Games.
Recommended,Posted: November 22| 2018,I remember in 2016 when I've pre-ordered this game because of hype train and my obsession of space exploration. But| this game broke my heart when released. It's broken and I've nominated this game as The Worst Game Award in 2016's steam awards. At the times I've really hate Hello Games that lie about this games.After update by update| at current state this game get better and better. Hello Games tried to fix their mess in 2016 and it works. In 2018| No Man's Sky is a very good game compared by launch state. With love| Hello Games keep updating this game to make a better No Man's Sky experience that they promise before the launch. And| in my humble opinion at current state with NEXT update this game need a second chance to be the best game in space exploration genre.Without shame| I've nominated this game as The "Labor of Love" Award in Steam Awards 2018.
Recommended,Posted: June 1,No Man's Sky used to be overrated and is now underrated| this game is one of the most tragic stories of any videogame that ever existed. At the start| the game was laggy and bad and didn't have multiplayer so it got a lot of bad reviews. But| weirdly enough| developers continued making updates and now is one of the best games I ever played. An awesome game that has multiplayer| missions| pets| nice NPCs| spaceships and spaceship upgrades| exocraft| monsters etc. The universe in this game is infinite and it is constantly expanding making random planets that makes this game never get old. The coding behind this game makes it only a few gigabytes small with pretty small loading times. It still has bugs here and there but the way things are going I think they will patch all of it. ☄️ 5 / 5 Wisps
Recommended,Posted: July 25| 2018,Honestly not a bad game. at launch it was a little barren but was still kinda fun to just sail the solar systems| but with aaaall the stuff brought with the updates| now including multiplayer| its easily worth the original pricetag. and if you're mad that you basically got a early access title at supposed "launch"| remember that 99% of any other game devs would've chocked it up as a loss and worked on No Man's Sky 2| but these guys actually worked tirelessly for years under extreme scrutiny and prejudice to bring us a game worth our quid| *and they're still updating*. If that doesn't earn back a little respect I truly do not know what would.
Recommended,Posted: May 8,No Man's Sky has come a long way since its initial release. There's a lot to enjoy now| but there are some things I feel I need to mention to gamers like me who are reconsidering this title in 2020.First| the good news. There is a fair amount of gameplay variety these days: running missions| space combat| building a base| and upgrading your equipment. And yes| you can now do all these things with your friends -- the game supports co-op sessions with up to 4 people.However| the game is still| at its core| a single-player experience focused on exploring new planets and scanning alien life forms. And unfortunately| most of the other features feel like an afterthought by comparison. Some examples:- Your progress is saved locally. If the game crashes (and it will)| you will lose your progress. This is very confusing in a game that portrays itself as a persistent open world adventure.- Your base is saved locally| and uploaded to the server periodically. If the game crashes| there is potential for major conflicts| such as two copies of your base being stacked on top of one another| which leads to permission issues and the inability to remove the old copy. Extremely frustrating. The problems compound when you try to build a base with a friend. In our squad| this was easily the most disappointing part of the game.- Because of the local saving| it is very easy to edit your save file to load unlimited supplies and equipment. The server does NOT verify your inventory.- There is no resource scarcity. In a game about finding and collecting resources| this feels very odd. Once you get past a certain threshold of "units" (the in-game currency)| you can easily purchase huge quantities of items on the market| or buy a new ship to shoot NPCs with impunity. The challenge factor goes way down at that point| and consequently so does the fun.- For all the development effort that has gone into the game of late| there seems to have been a severe lack of QA. The game crashes A LOT. Bugs abound; some are hilarious| some are infuriating.That being said| this can still be a fun game to put 30-40 hours into with your friends. Save often. Upload your base any time you make even the smallest change. Warp throughout the galaxy| check out new planets| and marvel at the visually-impressive worlds and curious alien life forms you'll encounter.Base building is not as good as Rust. Space combat is not as good as Elite Dangerous. The market is not player-driven as it is in EVE. The gunplay is subpar by any measure.But No Man's Sky does all these things _pretty decently_| and the result is a fun romp around the galaxy.6/10
Recommended,Posted: July 29| 2019,This game has done a complete 180. It went from a game I hated so much| to something I enjoy playing. Get your friends online and go explore the galaxy and build amazing bases.
Not Recommended,Posted: October 4| 2016,''As wide as an ocean| but has the depth of a puddle.''                                                     Angry Joe - 2016
Not Recommended,Posted: November 22| 2016,I put my fair share of time in (nearly 36 hours at time of writing). I grinded out most everything. I have fully explored several planets| maxed out inventories and travelled accross countless star systems. I spent hours simply building up language database. Do you know what i have to show for it? Nothing. it was a waste of time.To be clear| this is a beautiful looking game| with lot's of hope and wonder| that leads to absolutely nothing. I spent hours building up resources and inventories and amassing fortunes. With nothing to do with it. All that time spent learning languages| and there was no point. Anything important story-wise| is in common language. I had much hope| waiting for something to happen. It didn't. You build random items and fuels| but that's it. You can only move from one place to another| and very little changes. Buildings are virtually identical and evenly distributed on EVERY planet. You can spot them and know exactly what they are| and what they will contain. They are unbelieveably generic. Every NPC is the same. I spent hours learning languages of a particular race. 20+ building oup relations of 1 of the 3 races| so much so i was able to decipher almost the entire language in every dialogue. Do you know what I discovered? That it didn't matter. As soon as I discovered the 2nd race| it didn't matter that I didn't know a single word. They were identical. Sure they looked different a little| but every interaction was identical. There is no point to any of the languages| they amount to nothing at all. By the time you get enough to start deciphering the exact words| what they have to say is entirely useless anyway. Did you like that outpost you were at? Too bad| you'll never find it again because navigation is terrible. But don't worry| it doesn't matter because there is another outpost that is identical| just jump in your ship and fly in any direction for less than a minute and you'll find the same damn place with a different name.This game was like the ending of the TV Show "Lost"| lots of buildup for a complete let down. Accumulate for no reason| talk for no reason| explore for no reason. I like a grind| but you don't even have anything to show for it. You'll never go back to wherever you were| and you'll never be able to share what you find with another human being. Cool| on this planet I'm going to name everything after memes. cool. What's the point? I'll never see that planet again when i leave for the next one. I gave this game far too much of a chance| and too much of my time. Go play minecraft| at least here you can build something. Play an MMO| at least there you can talk to someone. Go play a game with any form of campaign| at least you'll get a story. NMS is like all those games| without the things that make them great. No story| no meaningful building| no social. This feels entirely like an MMO that is empty. Accumulate wealth to buy nothing of worth| to quest with no one| and find nothing of note.
Recommended,Posted: January 5| 2019,No Man's Sky is an...interesting situation.First impressions are everything for a game| and No Man's Sky gave quite a first impression for sure. Pre-launch| No Man's Sky promised to be the game literally everybody dreams about. Touting quintillions of planets| each randomly generated and different from the last| with random creatures| plants| and geology. No Man's Sky was looking too good to be true| and that was absolutely the case at launch.Nearly every feature advertised in the trailers| interviews| and pre-launch material was missing. Instead| there was a boring husk of a game| with boring planets and same-y fauna.Then there was the first major patch - Foundation. Foundation added basebuilding similar to subnautica| a survival mode| farming| freighters| and a whole host of quality of life improvementsThen there was the second patch - Pathfinder. Pathfinder added vehicles| base sharing| permadeath mode| more starships| new shops| and even more content. The game was still early| but the groundwork was there.The Atlas Rises update added a story mode| new planet types| missions and so much more. It fixed major issues with the UI and QOL improvements. It was shaping up to somethingThen there was NEXT. NEXT is the update that truly changed NMS for the better. Multiplayer| unlimited base building| community reasearch| third person mode| character customization| and so much more.Then came two smaller| but still substantial updates| Abyss and Visions. Abyss focused on improving undersea wildlife| and made the underwater sections of the game look beautiful. Visions added variation to planets| trophies| carniverous plants| and improved the visual fidelity.No Man's Sky was a complete ♥♥♥♥ing failure at launch. But that's simply not the case any more. Hello Games has proven that it's possible to redeem something thought to be unredeemable. They made the biggest dissapointment of 2016 into a fully fleshed game| and it's only getting better with time.I don't think NMS is worth 60 dollars. Not yet. I paid 30| and I don't regret my purchase.No Man's Sky is| in my opinion| a good game. There is still much to wait for| but I say it is worth the purchase now.
Recommended,Posted: March 8| 2019,I have got to say this game was a complete and utter failure when it launched. So much hype for nothing. But| a ray of hope as the devs pulled themselves together and shot through the darkness of that shadow of doubt everyone cast on you. How did they do that? By adding MASSIVE updates and fixes to the game. Much more content and is still growing! Multiplayer before being something that could happen if you were lucky| is now a easy| more engaging and fun experience! I have to tip my hat to this dev team! You guys pulled yourselves out of the mud. I recommend for sure!
Recommended,Posted: September 9| 2017,So I pre-ordered this.At the time| when I first played it| I came to regret that as a mistake. I sank a couple hours in here and there| but I just couldn't get into it. The story felt dull| the landscapes were just... off| and it just wasn't what was advertised.I cast it aside| too late to refund.Base building came out| along with vehicles| creative mode| and a camera. I played around with them| and they were fun - but the survival still felt lackluster. Creative mode got boring fast| and the camera (probably one of my favourite game features at the time) was hardly worth going into the game to use just for screenshots.And now| after the Waking Titan ARG - we have Atlas Rises.To be honest - I'm impressed. Suddenly| I find myself wanting to play survival because it's fun. Hell| I find myself wanting to play the game itself because I enjoy it now| not because I'm bored and need to sink time into something. The story is interesting and I want to see more| dozens of tiny little things that weren't there suddenly are...It's a new experience.In all honesty| I would have much preferred to see the game in this state on release. That way I would have been spared a year of disappointment. Hello Games has done what few developers would have done after the disaster of the release| and has spent time and effort making this game into something they can be proud of. It's clear they believe in the potential of No Man's Sky| and I find that inspiring.I can finally| in good conscience| recommend this game.I think the price is still too steep - but I would recommend it on half price.
Recommended,Posted: January 13,internet historian and my own experience have made me realize i was wrong and we should have been more understanding though they are not without their blame they are genuinely trying to make things right
Recommended,Posted: September 29| 2019,Just lower the price and everyone will be happier.
Recommended,Posted: July 26| 2018,Different game from 2 years ago. Hello Games did not walk away. Good on them.
Recommended,Posted: December 13| 2019,This game got SO much better. The rating for the game will take a while to improve| but if Hello keeps it up| it will eventually go up. The game today is far different than the pre-order days| and they did a good job making up for the fact that they put out an unfinished game| that didn't deliver on the promises made. When it was released: 3/10 - 4/10As it stands today: 8/10
Recommended,Posted: July 22| 2018,So here's the thing...All things considered| No Man's Sky is a good game. I think it's a great game| but my tastes are veeerry specific.NMS filled a desire I've had for a VERY long time. I just wanted to simply fly and walk around planets in a game that wasn't as artistically dry as| say| Elite Dangerous| or as simplistic and railroaded as Spore.That's all it needed to impress me| but it has done so much more than that.I think there is enough here now after all the updates| especially the upcoming NEXT patch| for a typical sci-fi fan to get a good kick out of.In No Man's Sky| you'll be spending a lot of your time:1. Collecting materials to sell off| craft| or fuel up your equipment| among other things.2. Building a base and doing missions to unlock more building parts and items from your base NPCs.3. Flying around space. Protip: this is a good time to manage your inventory.4. Accepting faction missions and trading at space stations.5. Interacting with NPCs who may give you rewards for solving their problems or doing what they ask.6. Collecting words of alien languages to help you understand the NPCs problems better.7. Exploring| just in general. It's nice to just kick back and wander sometimes.8. Finding upgrades: better multitools| exosuit tech| ships| vehicles| and upgrades to install into each of them.9. Shooting at pirates| sentinels| and very ugly animals.10. Progressing through the "Atlas Rises" story missions.11. Trying (and in my case failing) to save up money for a bigass freighter| which you can also build a base in.12. Trying (and most assuredly failing) to 100% catalog the species of a planet for a big money bonus.13. Uploading and optionally renaming your discovered planets and lifeforms for cash.14. Raiding buildings on planets for useful junk or coordinates to other useful junk.14 1/2. Probably more I forgot about?That's the basic overview| but... I really want to address something important.This game was indeed overhyped| but at the same time| was also overcriticized at the beginning| understandably so given the information at the time.But the truth is| there's more nuance to what happened than "Sean tricked us into buying an unfinished game."Considering the hard work they've been putting into these free updates over the last couple of years| the idea that Sean was intentionally trying to scam people doesn't quite add up. And it would seem that my first guess as to what really happened was pretty much true.Sean Murray is a passionately ambitious dev| but isn't exactly a PR and marketing pro. And that worked against him| tragically.According to a recent interview| Sean Murray claims that he was not really prepared to properly and carefully consider his messaging during pre-release interviews and gameplay videos where certain features were detailed that didn't make it to the release build. It was obvious that he loved what he was making and naively wanted to share his complete vision with future players| but was not clear about what was going on in development at the time| and in what state these features were in.Some of those features were being worked on| but didn't quite make it to release due to budget and time crunch problems.Some of those features simply never made it even though they appeared in early trailers| like sand worms. Possibly due to bugs or gameplay issues| as that's why most cool features get cut before a release.One key example is multiplayer. Before release| HG had been working on the barebones floating orb multiplayer feature we now have currently. The nature of this "multiplayer" lines up with what Sean vaguely described in interviews.However| HG was simply not able to wrap up development of the multiplayer feature| and had to push it back.Now... none of this *really* excuses releasing a game that is missing promised (or implied) features.But what I can say is that it's clear to me that there was nothing malicious or greedy behind the situation HG put themselves in. They had a PR crisis. A particularly bad one| the reaction to which I think was unwarranted considering what we know now.This narrative that Hello Games was out to scam people is not only a silly notion considering their dedication to continuing work on the game| but it unnecessarily drives people away from an experience they may actually enjoy if they were to get past the development drama. It has become so pervasive that even people who have never even played or looked at footage of the game are now parroting hyperbolic nonsense that it had the worst launch of all time and that it was a giant scam. This is a frustrating case of bandwagoning.By continuously working on NMS| and adding large swaths of content with every expansion| HG has shown me| through their actions| not words| that they are not the bad-faith actors they are made out to be.I can certainly forgive the mishandling of the hype and launch considering what we'll be getting in just a couple days with NEXT.With that in mind| I am not angry with HG or Sean| nor was I even disappointed with the initial release. I played it. I liked it. It was repetitive| sure| but it was unique and aesthetically striking.I just wish they would've communicated more effectively initially. If I went through what they went through| I don't know if I would've had the strength to continue. Though maybe the backlash put a fire under HG's ♥♥♥ to prove the naysayers wrong.Who knows...The TL;DR is: If someone has convinced you that No Man's Sky is some kind of horrible| hugely disappointing game| that may be their real opinion| but they are almost certainly exaggerating for the thrill of exacting righteous fury on a perceived sleight.I encourage you to look more objectively into what NMS is and whether it is the right game for you. It may very well not be. But you don't need to feel guilty about buying a game from a supposedly unethical dev. That just ain't how it is.Addendum (July 25th| 2018): The NEXT update is now available. After my time with it so far| and after having read through the changelist| I am beyond impressed. I was already cautiously optimistic for it| but this feels and looks like an entirely new game. It is as if they have transformed it into its own sequel... if that makes any sense. There are too many changes to list| much less choose to focus on here| so see them for yourself on the official website.There are a few weird bugs they need to iron out as of this writing| but nothing major.Considering the current half-off sale and the new expansion| I can confidently say that this may be the perfect time to get into No Man's Sky. This is the game in a form that really lives up to its potential. And what's exciting| is that there's apparently even more on the way.I really could not be more pleased.But Sean| please fix my Korvax's face-screen!
Recommended,Posted: April 26,-Likes-1: The freedom in this game is spectacular. You can go from planet to planet mining and exploring. There's an upside and a downside to this however| and I will address it more in the dislike section. 2: I like how you can modify not only your weapon but you can modify your exosuit and starship/freighter as well. In order to do so| it takes time and thought into what materials you will need for each upgrade/item.3: The ability to grow in the game regarding upgrades and learning new tech is amazing| and I love how every time I play I have the chance to learn something new about the game.4: They are still updating this game and I don't see any reason why they should stop either. As long as it keeps drawing in players I think this game will stick around for awhile.-Dislikes-1: Addressing #1 in likes: most of the planets feel the same. I understand that the scope of this game is so complex that it would require a ton of memory and data on the developers part in order to make each and every planet unique. With that said| they did do a good job with keeping the planets some-what unique. I would like to see some updates in the future that have more combative alien types along with some new playable species as well.2: One of the biggest disappointments for me was the fact that when you do modify and upgrade your starship/freighter| you don't see the results on the outside of the ship. For example| when I add a rocket launcher on my ship the ship should reflect that modification and show it somewhere on the ship itself. The biggest reason I started playing this game was for the starships and exploration| so needless to say| it was a little disappointing when I found out that ship doesn't change at all when I add new weapons and gear. The only way to change the look of your ship is to buy a different looking ship.That's it for now. I'll have more to come later.
Recommended,Posted: August 15| 2019,The Hello Games is doing exactly what other developers and publishers should be doing| offering a full game that they support and make right even after a bumpy release.  I only purchased this game recently| almost 3 years after release| but I did so because the developers keep pumping out high quality content for free.  That sort of behavior needs to be rewarded in this current EA/Bethesda micro transaction| horse armor| overpriced DLC| random box of crap unlock| nightmare of a gaming world that we find ourselves in.  I really enjoy this game; there is a lot of fun activity and it is good value for the cost.
Recommended,Posted: November 29| 2019,I have been playing video games since the 70's| long before home video game consoles| but no game has been able to capture my attention as No Man's Sky| to be able to live a virtual life as a space explorer has been a dream of mine for years| this game is jam packed with missions and things to do and the Devs have been on the ball to keep upgrading the game and making it better. Come visit my base at FACE-SUNSET-BALLOON-BUG-SUNSET-ECLIPSE-VOXEL-GALAXY-TREE-ECLIPSE-BOAT-TENT there is over 13 million in units waiting for you there. Keep up the great work No man's Sky Devs. I salute you! this game was money well spent!!
Recommended,Posted: March 24,I currently have around 140 hours in on the game| and it's taken me this long to decide if I like it or hate it.  It's a very slow grind and never enough inventory space to carry the very basics.  I'll admit I "Rage Quit" at least once!  My expectations of where I needed to be to where I thought I was supposed to be at the time and timing was way off.  Very very slow going for the first 80 hours or so| even with doing all missions and things you're supposed to do.  Frustrating at first| and again a very slow climb to a decent place| "Opening Up More Inventory Space & Storage| but once you get there the game feels and looks Absolutely Awesome!!!... Now| my PRO'S to the game.  This game has been around for around 4 years.  They constantly and continually upgrade the game| and you are Never charged for a single upgrade!  There is currently No pay them for better looking gear!  And| once you get your very own Freighter the game gets Really Really Good!!!  Lots of personal customizations you can do to your base inside your freighter| you can have virtually unlimited custom bases throughout the galaxy| and can own up to 6 ships in a plethora of styles and attributes.  The Sky is the limit!  I give this game a high 5!!!
Not Recommended,Posted: September 19| 2016,Pros-Lots of Space-Lots of planets-Lots of animals-Lots of Aliens-Lots of Ships-Lots of settlements/structuresCons-Lots of space filled with things that you've seen within the first 2 hours of the game-Lots of planets that have all of the same resources and are different colors/hues-Lots of aliens| but they apparently hate eachother and you will never see more than one in a settlement/outpost/structure/space station-Lots of ships but they all handle exactly the same way-Lots of settlements strewn out throughout billions of planets... that all look exactly the same and have one resident alien in themPlease| don't buy this game at full price. The only reason you should buy this is if it was <$10.(Edit: Forgot to tag in 'at full price' after saying Please| don't buy this game.)
